SerialNO,model,error type,blockaddress,count
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,90103808,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,116162560,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,65978368,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,104316928,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,3375104,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,54231040,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,13893632,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,51650560,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,34070528,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,85098496,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,60121088,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,13099008,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,25616384,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,46661632,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,53633024,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,14999552,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,78503936,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,14417920,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,104988672,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,35504128,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,45662208,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,87900160,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,0,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,60170240,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,117596160,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,116137984,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,58982400,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,78307328,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,86917120,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,91979776,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,21741568,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,79257600,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,114851840,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,75128832,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,60743680,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,5619712,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,79306752,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,112861184,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,91676672,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,35487744,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,10698752,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,54960128,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,74465280,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,50495488,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,109502464,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,16261120,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,50298880,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,109887488,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,79437824,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,102514688,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,36290560,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,79667200,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,119406592,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,104505344,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,14188544,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,90456064,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,10117120,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,87818240,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,25354240,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,75284480,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,2801664,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,6062080,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,15056896,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,96567296,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,78290944,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,94527488,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,117702656,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,49774592,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,115064832,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,38715392,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,77348864,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,81707008,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,84123648,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,87277568,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,57090048,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,40484864,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,83460096,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,116736000,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,109428736,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,83566592,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,96059392,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,47955968,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,29679616,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,19742720,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,53280768,2
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,114950144,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,23568384,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,82968576,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,94511104,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,29843456,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,81805312,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,83419136,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,9912320,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,49782784,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,34734080,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,36708352,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,70795264,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,87654400,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,14360576,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,81682432,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,104562688,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,121921536,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,88489984,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,54075392,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,60104704,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,10592256,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,118022144,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,90652672,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,87621632,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,34676736,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,93806592,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,104382464,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,114835456,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,102948864,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,90505216,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,82616320,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,53755904,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,83255296,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,60801024,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,30121984,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,63135744,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,83132416,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,39960576,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,115359744,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,105799680,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,94412800,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,48611328,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,45268992,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,50520064,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,93396992,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,114925568,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,85590016,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,62529536,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,87760896,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,62562304,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,90439680,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,45350912,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,76791808,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,60342272,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,45948928,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,76447744,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,82051072,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,76464128,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,60694528,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,66609152,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,117391360,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,79650816,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,63463424,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,74440704,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,116326400,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,76759040,1
ref_LGF600L23c93140_60,LG-F600L,CRC32 not,48078848,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,30441472,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,17842176,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,92946432,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,117276672,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,85671936,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,77398016,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,75120640,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,45473792,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,33357824,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,62652416,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,42311680,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,92069888,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,102342656,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,88047616,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,85745664,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,76988416,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,15335424,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,93085696,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,52969472,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,102121472,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,13737984,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,105570304,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,19464192,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,87277568,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,75464704,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,93011968,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,17293312,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,96911360,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,50003968,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,87957504,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,117063680,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,84647936,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,95576064,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,65732608,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,115417088,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,18939904,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,37642240,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,81559552,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,92856320,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,94437376,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,42369024,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,61792256,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,62300160,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,112205824,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,46145536,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,87973888,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,31916032,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,118743040,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,26927104,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,120619008,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,99999744,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,55721984,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,15572992,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,120332288,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,6193152,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,11550720,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,121102336,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,78864384,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,115605504,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,62324736,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,105652224,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,53829632,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,54181888,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,7233536,1
sleep_LGF600L045d2a20_60,LG-F600L,CRC32 not,85942272,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,36380672,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,23412736,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,100442112,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,37429248,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,93749248,2
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,103374848,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,11132928,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,3399680,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,14606336,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55877632,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,30539776,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47136768,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,51208192,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,80551936,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,91971584,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,31326208,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55746560,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,53968896,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,60022784,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,23486464,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,40853504,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,37675008,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,20070400,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,14630912,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,7675904,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,26574848,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,96182272,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,116531200,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,99164160,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,77643776,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,59736064,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,69066752,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,61153280,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,59932672,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,59711488,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,61480960,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,111108096,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,110329856,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,48185344,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47341568,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,3055616,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,15024128,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,4497408,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55500800,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47071232,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,113442816,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,51232768,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,81190912,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,93077504,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47185920,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,42483712,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,2326528,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,13983744,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,16441344,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,117137408,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,116514816,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,77242368,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,87875584,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,37658624,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,7282688,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,85884928,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,63127552,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,92995584,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,11640832,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,35979264,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,31842304,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,102383616,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,92192768,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,24084480,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,94822400,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,42090496,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,108150784,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47407104,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,61939712,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,50454528,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,12648448,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,71098368,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,74203136,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,100720640,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,12673024,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,17793024,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,68870144,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,27795456,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55656448,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,81977344,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,119775232,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,88842240,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,85336064,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,13492224,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,43073536,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,68132864,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,81592320,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,15851520,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,60301312,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55009280,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,84107264,2
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,52994048,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,19513344,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,11108352,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,109338624,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,109510656,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,109690880,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,57491456,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,119078912,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,62955520,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,110305280,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,108273664,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,52953088,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,105504768,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,14106624,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,117899264,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,24788992,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,110985216,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,63774720,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,64356352,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55394304,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,89341952,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,104759296,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47284224,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,88408064,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,14639104,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,78356480,1
